Country,Medals,Season
United States,4585,Summer
United Kingdom,1720,Summer
France,1396,Summer
Germany,1305,Summer
Italy,1296,Summer
Australia,1189,Summer
Hungary,1079,Summer
Sweden,1044,Summer
Netherlands,851,Summer
China,807,Summer
